Serial data,2737998,512,0,,threads,data
Serial data,2736289,512,0,,1,2881449
Serial data,2736454,512,0,,2,1459927
Serial data,2736332,512,0,,4,730525
Serial data,2736673,512,0,,8,666868
Serial data,2737826,512,0,,16,672558
Serial data,2736235,512,0,,,
Serial data,2736701,512,0,,threads,filter
Serial data,2736389,512,0,,1,2873217
Serial data,2737454,512,0,,2,1437626
Serial data,2738192,512,0,,4,723438
Serial data,2736533,512,0,,8,693543
Serial data,2736710,512,0,,16,687179
Serial data,2737291,512,0,,,
Serial data,2737177,512,0,,,
Serial filter,3089151,512,0,,,
Serial filter,3087084,512,0,,,
Serial filter,3087013,512,0,,,
Serial filter,3087531,512,0,,,
Serial filter,3086991,512,0,,,
Serial filter,3088188,512,0,,,
Serial filter,3086921,512,0,,,
Serial filter,3086693,512,0,,,
Serial filter,3086180,512,0,,,
Serial filter,3086103,512,0,,,
Serial filter,3091413,512,0,,,
Serial filter,3089447,512,0,,,
Serial filter,3090540,512,0,,,
Serial filter,3089071,512,0,,,
Serial filter,3090037,512,0,,,
Parallel data,2880234,512,1,,,
Parallel data,2884017,512,1,,,
Parallel data,2881449,512,1,,,
Parallel filter,2873217,512,1,,,
Parallel filter,2855601,512,1,,,
Parallel filter,2875833,512,1,,,
Parallel data,1460304,512,2,,,
Parallel data,1459927,512,2,,,
Parallel data,1459288,512,2,,,
Parallel filter,1438741,512,2,,,
Parallel filter,1427383,512,2,,,
Parallel filter,1437626,512,2,,,
Parallel data,730507,512,4,,,
Parallel data,730525,512,4,,,
Parallel data,946899,512,4,,,
Parallel filter,723438,512,4,,,
Parallel filter,717109,512,4,,,
Parallel filter,958045,512,4,,,
Parallel data,666868,512,8,,,
Parallel data,664949,512,8,,,
Parallel data,669205,512,8,,,
Parallel filter,693543,512,8,,,
Parallel filter,704208,512,8,,,
Parallel filter,692639,512,8,,,
Parallel data,672558,512,16,,,
Parallel data,668048,512,16,,,
Parallel data,678433,512,16,,,
Parallel filter,687179,512,16,,,
Parallel filter,682805,512,16,,,
Parallel filter,698162,512,16,,,
