Serial data,2737336,512,0,,threads,data
Serial data,2735672,512,0,,1,2873176
Serial data,2735532,512,0,,2,1438150
Serial data,2736150,512,0,,4,719552
Serial data,2736587,512,0,,8,669076
Serial data,2737772,512,0,,16,687028
Serial data,2736044,512,0,,,
Serial data,2735899,512,0,,threads,filter
Serial data,2736166,512,0,,1,2855840
Serial data,2736732,512,0,,2,1428653
Serial data,2737602,512,0,,4,716524
Serial data,2736350,512,0,,8,719829
Serial data,2735742,512,0,,16,712397
Serial data,2736031,512,0,,,
Serial data,2736654,512,0,,,
Serial filter,3088675,512,0,,,
Serial filter,3087046,512,0,,,
Serial filter,3087793,512,0,,,
Serial filter,3087369,512,0,,,
Serial filter,3087096,512,0,,,
Serial filter,3089032,512,0,,,
Serial filter,3087340,512,0,,,
Serial filter,3087482,512,0,,,
Serial filter,3087741,512,0,,,
Serial filter,3087355,512,0,,,
Serial filter,3088643,512,0,,,
Serial filter,3087200,512,0,,,
Serial filter,3087112,512,0,,,
Serial filter,3086018,512,0,,,
Serial filter,3087253,512,0,,,
Parallel data,2873176,512,1,,,
Parallel data,2871597,512,1,,,
Parallel data,2875596,512,1,,,
Parallel filter,2854836,512,1,,,
Parallel filter,2855840,512,1,,,
Parallel filter,2856866,512,1,,,
Parallel data,1438555,512,2,,,
Parallel data,1437723,512,2,,,
Parallel data,1438150,512,2,,,
Parallel filter,1428966,512,2,,,
Parallel filter,1428653,512,2,,,
Parallel filter,1427668,512,2,,,
Parallel data,719429,512,4,,,
Parallel data,1339407,512,4,,,
Parallel data,719552,512,4,,,
Parallel filter,715429,512,4,,,
Parallel filter,1386788,512,4,,,
Parallel filter,716524,512,4,,,
Parallel data,669076,512,8,,,
Parallel data,670274,512,8,,,
Parallel data,668825,512,8,,,
Parallel filter,724267,512,8,,,
Parallel filter,719829,512,8,,,
Parallel filter,700103,512,8,,,
Parallel data,670316,512,16,,,
Parallel data,748350,512,16,,,
Parallel data,687028,512,16,,,
Parallel filter,712397,512,16,,,
Parallel filter,743525,512,16,,,
Parallel filter,705821,512,16,,,
